Date,Price
2009/06/13,8800
2009/06/20,9100
2009/06/27,9100
2009/07/04,9400
2009/07/11,9400
2009/07/18,9600
2009/07/25,9600
2009/08/01,9600
2009/08/08,10000
2009/08/15,10000
2009/08/22,10400
2009/08/29,10700
2009/09/05,10400
2009/09/12,10000
2009/09/19,10000
2009/09/26,10200
2009/10/03,9900
2009/10/10,9900
2009/10/17,9400
2009/10/24,9200
2009/10/31,8800
2009/11/07,9100
2009/11/14,9400
2009/11/21,9600
2009/11/28,9800
2009/12/05,9800
2009/12/12,9800
2009/12/19,9800
2009/12/26,10000
2009/12/31,10300
2010/01/02,10300
2010/01/09,10700
2010/01/16,11200
2010/01/23,11700
2010/01/30,11200
2010/02/06,11200
2010/02/13,11200
2010/02/20,11200
2010/02/27,11500
2010/03/06,11900
2010/03/13,12200
2010/03/20,12500
2010/03/27,12500
2010/04/03,12900
2010/04/10,13500
2010/04/17,14300
2010/04/24,13300
2010/05/01,12600
2010/05/08,12600
2010/05/15,12900
2010/05/22,12600
2010/05/29,11900
2010/06/05,11600
2010/06/12,11000
2010/06/19,10600
2010/06/26,10300
2010/07/03,10600
2010/07/10,10900
2010/07/17,10900
2010/07/24,10700
2010/07/31,10700
2010/08/07,11100
2010/08/14,11500
2010/08/21,11800
2010/08/28,12100
2010/09/04,11800
2010/09/11,11500
2010/09/18,11800
2010/09/25,11800
2010/10/02,11500
2010/10/09,11500
2010/10/16,11000
2010/10/23,11200
2010/10/30,11700
2010/11/06,11700
2010/11/13,11700
2010/11/20,12000
2010/11/27,12000
2010/12/04,12300
2010/12/11,12700
2010/12/18,13200
2010/12/25,13400
2010/12/31,13700
2011/01/01,13700
2011/01/08,13700
2011/01/15,13900
2011/01/22,13300
2011/01/29,13100
2011/02/05,13100
2011/02/12,13100
2011/02/19,13100
2011/02/26,13100
2011/03/05,13400
2011/03/12,13200
2011/03/19,13000
2011/03/26,13000
2011/04/02,12800
2011/04/09,12500
2011/04/16,12500
2011/04/23,12800
